"","ticker","open","close","adj_close","low","high","volume","date"
"3215249","AME",76.1100006103516,76.2099990844727,76.2099990844727,75.620002746582,76.2600021362305,764300,2018-08-24
"3248904","KORS",74.2399978637695,74.8099975585938,74.8099975585938,73.7600021362305,74.8899993896484,1062100,2018-08-24
"3290002","FOXA",45.25,45.1699981689453,45.1699981689453,45.1500015258789,45.3600006103516,6846200,2018-08-24
"3320492","AMG",147.149993896484,147.550003051758,147.550003051758,146.179992675781,148.029998779297,327800,2018-08-24
"3366862","TPR",51.3499984741211,51.0299987792969,51.0299987792969,50.810001373291,51.4300003051758,2332100,2018-08-24
"3371122","UA",19.8600006103516,19.7099990844727,19.7099990844727,19.5300006866455,19.9400005340576,2173400,2018-08-24
"3382566","CTAS",212.699996948242,212.630004882812,212.630004882812,211.5,213.690002441406,227100,2018-08-24
"3433353","AMZN",1910.51000976562,1905.39001464844,1905.39001464844,1902.5400390625,1916.01000976562,2792600,2018-08-24
"3483956","COG",24.3999996185303,24.1499996185303,24.1499996185303,24.0900001525879,24.4699993133545,2714300,2018-08-24
"3505354","AMP",139.589996337891,141.25,141.25,139.490005493164,141.589996337891,696200,2018-08-24
"3534607","INFO",53.7400016784668,53.6699981689453,53.6699981689453,53.6300010681152,53.8699989318848,1089900,2018-08-24
"3543776","DWDP",68.4800033569336,69.2099990844727,69.2099990844727,68.4000015258789,69.6800003051758,6207100,2018-08-24
"3579436","COF",100,99.4599990844727,99.4599990844727,99.3199996948242,100,1046500,2018-08-24
"3663121","ITW",135.5,135.550003051758,135.550003051758,134.449996948242,136,1722600,2018-08-24
"3683841","NFLX",346,358.820007324219,358.820007324219,344.540008544922,359.149993896484,14711000,2018-08-24
"3716318","AMT",147.380004882812,148.059997558594,148.059997558594,147.380004882812,148.529998779297,1339900,2018-08-24
"3772960","COL",136.199996948242,136.130004882812,136.130004882812,136.050003051758,136.539993286133,706100,2018-08-24
"3784150","PKG",110.680000305176,110.639999389648,110.639999389648,109.709999084473,110.809997558594,647500,2018-08-24
"3865819","COO",258.790008544922,259.980010986328,259.980010986328,258.390014648438,260.269989013672,189900,2018-08-24
"3868034","PKI",86.1100006103516,87.4899978637695,87.4899978637695,85.870002746582,87.7200012207031,416500,2018-08-24
"3869982","AVB",180.850006103516,182.800003051758,182.800003051758,180.850006103516,183.130004882812,318200,2018-08-24
"3890230","MRK",69,69.0400009155273,69.0400009155273,68.7699966430664,69.25,4956200,2018-08-24
"3909946","GLW",32.8699989318848,33,33,32.6500015258789,33.1100006103516,3210800,2018-08-24
